                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.78243,                0.59338,                  0.988,                0.67423,                0.68854,                0.68428,                0.48446,                 1.1872,                 1.2551,                 1.2991,              0.0001684,              0.0001684,              0.0001684
                     86,                0.79006,                0.59097,                0.99038,                0.70758,                0.64906,                0.70018,                0.49083,                  1.182,                 1.2373,                 1.3116,              0.0001585,              0.0001585,              0.0001585
                     87,                0.76364,                0.58362,                0.98055,                0.58919,                0.72478,                0.68822,                 0.4848,                 1.1767,                 1.2624,                  1.287,              0.0001486,              0.0001486,              0.0001486
                     88,                0.76771,                0.56584,                0.97526,                0.68393,                0.67516,                0.70326,                0.49036,                 1.1837,                 1.2352,                 1.3045,              0.0001387,              0.0001387,              0.0001387
                     89,                0.76439,                0.57652,                0.97718,                0.68369,                0.66501,                0.69733,                0.47838,                 1.1899,                 1.2759,                 1.3106,              0.0001288,              0.0001288,              0.0001288
                     90,                0.76451,                0.56627,                0.97212,                0.68513,                0.69592,                0.69052,                0.47828,                 1.1903,                 1.2917,                 1.3131,              0.0001189,              0.0001189,              0.0001189
                     91,                0.69343,                0.45314,                0.93614,                0.62279,                0.66617,                0.68311,                  0.477,                 1.1736,                  1.287,                 1.2991,               0.000109,               0.000109,               0.000109
                     92,                0.67504,                0.41496,                0.92799,                0.67822,                0.64647,                0.68974,                0.47802,                 1.1748,                 1.2901,                 1.2959,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.65688,                0.40969,                0.91782,                0.70643,                0.62931,                0.68287,                0.46687,                 1.1844,                 1.3031,                 1.2953,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.65066,                0.39951,                0.92595,                0.68963,                0.65978,                0.70222,                0.48684,                 1.1729,                 1.2667,                 1.3016,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.64149,                0.39612,                0.91043,                0.60888,                0.77944,                0.70178,                0.48006,                 1.1905,                 1.2568,                 1.3017,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.63146,                0.38075,                0.90914,                  0.651,                0.70577,                0.69738,                0.48373,                  1.175,                 1.2897,                 1.3086,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.62339,                0.38477,                0.90576,                0.70196,                0.70409,                0.70255,                0.48348,                 1.1842,                 1.2858,                 1.3131,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.62006,                0.38212,                0.90499,                 0.6124,                0.76704,                0.70655,                0.48799,                 1.1786,                 1.2803,                 1.3102,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 0.6186,                0.38126,                0.90962,                 0.6097,                0.76779,                0.70978,                0.48765,                 1.1799,                 1.2652,                 1.3143,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.61172,                0.36969,                0.89998,                0.66595,                0.68806,                0.70089,                0.48484,                 1.1819,                 1.2701,                 1.3164,               1.99e-05,               1.99e-05,               1.99e-05
